year,TotalEmissions,"Farming, Forestry, Animal Husbandry, Fishery and Water Conservancy",Coal Mining and Dressing,Petroleum and Natural Gas Extraction,Ferrous Metals Mining and Dressing,Nonferrous Metals Mining and Dressing,Nonmetal Minerals Mining and Dressing,Other Minerals Mining and Dressing,Food Processing,Food Production,Beverage Production,Tobacco Processing,Textile Industry,Garments and Other Fiber Products,"Leather, Furs, Down and Related Products","Timber Processing, Bamboo, Cane, Palm Fiber & Straw Products",Furniture Manufacturing,Papermaking and Paper Products,Printing and Record Medium Reproduction,"Cultural, Educational and Sports Articles",Petroleum Processing and Coking,Raw Chemical Materials and Chemical Products,Medical and Pharmaceutical Products,Chemical Fiber,Rubber Products,Plastic Products,Nonmetal Mineral Products,Smelting and Pressing of Ferrous Metals,Smelting and Pressing of Nonferrous Metals,Metal Products,Ordinary Machinery,Equipment for Special Purposes,Transportation Equipment,Electric Equipment and Machinery,Electronic and Telecommunications Equipment,"Instruments, Meters, Cultural and Office Machinery",Other Manufacturing Industry,Scrap and waste,"Production and Supply of Electric Power, Steam and Hot Water",Production and Supply of Gas,Production and Supply of Tap Water,Construction,"Transportation, Storage, Post and Telecommunication Services","Wholesale, Retail Trade and Catering Services",Others,Urban,Rural
2007,6546.296649,76.75207608,68.0957982,44.05222951,10.75481909,5.00514485,14.30274562,0.064791889,47.21822012,21.62842378,25.01212047,2.014822651,48.85770392,7.473620365,5.016361357,10.50628263,1.880191563,42.81217459,2.122265695,1.683360408,111.1981227,227.6850563,12.31593945,7.63443625,6.933973286,7.255392176,903.4600885,1138.08299,64.44745071,16.60905632,36.88338043,14.26944555,20.80836986,12.28403278,7.974231754,1.584021746,3.543228364,0.539172813,2601.002842,6.153824873,0.637262879,31.19506429,409.186446,62.68247411,116.0804464,150.205839,140.3909079
2008,6761.019282,73.55607254,70.49002316,46.71646666,12.93535582,4.46179551,14.69337559,0.039398082,51.46079135,23.73955259,26.14181989,1.857429798,47.31035877,7.613373454,4.795011574,11.42672464,2.144730966,47.28975236,2.28490542,1.71438434,111.942602,221.5391741,13.08050428,7.013943085,7.185870756,8.06746858,941.8324603,1198.088244,68.27746717,17.75489167,41.28705615,15.05422359,23.67471749,12.51001037,7.760178083,1.420474404,3.746478743,1.023157092,2685.74853,4.563784849,0.63620727,29.56623009,434.8452432,60.70828046,122.8291155,151.1021277,119.0895178
2009,7333.675089,75.52892507,110.2850295,44.44418524,11.99826315,4.525467955,15.42558802,0.051426986,51.46688315,25.16494847,26.17150171,1.601481802,47.10961802,7.352065644,4.609104527,12.22545716,2.090940106,51.72358481,2.122341168,1.623530459,127.3487659,217.1717176,11.83534765,6.237165824,6.801974113,7.544319655,1038.230498,1385.806453,70.73550277,16.93446359,42.67514278,15.37127688,23.33156197,12.03338515,7.239418303,1.525754647,3.215068318,1.182141262,2899.732428,3.141237897,0.619216154,32.41300413,439.8299982,65.66334876,124.1863997,152.6944107,124.6547455
2010,7904.547464,79.07333024,114.712335,47.10503386,24.3281388,4.898796975,15.48819979,0.089594927,52.38791715,25.02623221,25.75108113,1.641226367,47.12562396,7.490471281,4.076385964,11.74250989,2.213484908,51.71319752,2.160225806,1.605797578,127.4725438,226.2227587,12.75926458,6.48264072,7.205540594,7.931347461,1123.283776,1461.899045,66.61682145,15.84042423,42.97949944,17.692265,23.92531722,12.56403222,7.386439591,1.64546331,2.996013418,2.047253227,3195.799471,2.257985932,0.779303292,37.00978261,482.7234287,66.93559057,133.1296906,168.0682482,132.2639333
2011,8741.562054,82.87018463,121.0150068,43.4459042,17.71183942,5.534179564,13.7579168,0.007391752,51.23403043,24.52482798,25.93096446,2.129782801,44.73531148,6.592662922,3.51199983,11.42413911,1.885422462,50.78293368,1.679481283,1.103487574,138.7305052,274.6138132,14.0973006,7.209982389,6.518503377,7.014580381,1244.717582,1598.550701,69.17290319,13.70967629,56.31883736,15.19261486,23.68377311,10.8334612,5.113790979,1.212034465,2.873037784,1.982665244,3632.182814,1.663136358,0.591971736,39.28575514,525.2168067,75.17052777,145.6737373,179.8945474,140.4595286
2012,9080.54839,86.15133114,125.0220464,42.5920257,16.23714863,5.343186545,14.14979788,5.677337223,49.35985971,25.00670757,24.32266985,1.38040971,38.22370478,6.552036137,3.921021331,10.96201739,1.758712597,44.06727582,1.65121648,2.512034522,140.7346717,261.8216443,13.64580948,6.769712133,5.816642446,5.816642446,1250.376004,1671.535348,65.11383366,18.21837869,35.55441404,11.86402374,24.40223959,9.748691129,4.528043671,1.173312543,2.4507638,1.890081805,3854.762433,1.655931966,0.704824893,38.73327758,577.345444,80.15199682,156.2442811,187.1415214,147.4578818
2013,9534.235131,92.9588568,133.4025932,45.56943513,18.69037605,5.077448224,14.26238483,4.676028749,48.03477777,24.75765374,24.92698115,1.304834392,37.13020852,5.748971438,3.542018487,10.3276827,1.673296989,39.81195461,1.871483274,2.604436329,144.0162276,264.4985006,13.25357568,6.665440969,5.417583995,5.417583995,1314.539866,1761.639572,67.52974355,18.68934916,30.88583391,12.2836373,23.70042275,9.483545196,4.325948118,1.179812503,2.092461322,2.1742161,4061.843736,2.113456119,0.556434575,43.40756367,613.617286,84.95292071,168.8890389,198.3065395,156.3834122
2014,9451.281631,94.5129947,70.29729456,46.6512989,18.01576383,4.528197191,13.15325872,4.920546968,40.97037838,21.12552112,22.27292397,1.093779434,29.25969635,5.288386766,3.112853572,8.767433303,1.471089629,31.59105922,2.190957556,2.96183207,138.0747881,254.8559509,12.24788195,5.587366111,4.617430193,4.617430193,1354.954766,1802.839093,67.60820263,15.29941098,29.84588567,12.33038788,19.92714084,7.603230336,4.196326971,0.971664841,1.100574426,2.495728816,3982.729192,1.141163281,0.434473567,44.66625772,638.7992621,83.82928707,162.7479049,213.8855314,161.6900324
2015,9253.502801,97.83809993,66.08334808,45.51502359,14.8085025,4.279944263,11.49207725,4.03058399,42.98843114,20.7121439,20.00722232,0.948600219,27.72627134,4.737211554,2.970836598,8.034067592,1.46199369,27.54243897,2.144475061,2.797861508,164.1938182,285.4173195,12.25065424,5.841802134,4.378184923,4.378184923,1280.655633,1697.992493,65.32609713,14.38081131,28.83709282,10.35215588,17.18563232,6.834884653,4.320510841,0.871767,1.08891725,2.286317978,3841.902991,1.424122796,0.453194814,46.74577573,673.8560557,87.59540843,180.9558128,233.5793467,174.2786832
2016,9256.251069,100.4029689,59.16367753,39.60256176,12.00460766,3.375244621,10.28648006,3.358033573,41.15162583,21.47041911,18.08930728,0.702172396,23.37759594,3.969294525,2.567859531,5.726780517,1.235605829,25.0348614,2.242624053,2.635888206,132.6774209,244.1692716,16.75216972,5.699621798,3.707722667,3.707722667,1253.235564,1697.221509,60.50234268,12.35709237,27.67490361,9.084452369,13.7985648,5.359897516,4.109810978,0.777636263,1.041881805,2.135976177,3960.307259,1.39253234,0.439006412,46.34997893,689.5029743,86.64001352,175.9146236,245.0782499,180.2152612
2017,9408.170796,102.5360145,69.51001891,39.49434079,9.509093114,2.915111385,11.93684209,0.027491432,34.01969991,20.15696995,15.83704112,0.615997033,19.06042229,2.753652265,1.838845897,4.041020411,0.868605805,24.43090454,1.716712733,2.194722793,142.5451857,227.5438226,8.527353562,4.863155754,2.876120555,2.876120555,1162.252978,1693.671673,61.51941499,10.07677887,19.68626591,7.441798831,12.36920348,3.955093317,3.951289361,0.583791514,1.018615835,1.84600701,4211.109247,3.22847407,0.450321888,46.52079928,721.3988141,82.79949278,168.4912432,260.7740784,182.3301498
2018,9621.119877,94.65975932,58.44941624,40.05592334,9.541592932,2.653535436,9.961678471,4.97919227,25.89206239,18.41666423,12.11350212,0.501165513,12.62446109,1.500239964,0.752672299,1.840561369,0.611079414,17.40378601,2.053299611,1.407060793,142.3890631,192.5428942,4.779746412,3.431070382,1.760343332,1.760343332,1093.653104,1769.588416,64.17917387,24.89020226,14.70348279,3.689860022,9.020959691,2.253129258,3.606745391,0.377450635,0.526829213,3.459051241,4509.970507,4.182235054,0.506098362,45.007496,741.3590956,71.29638593,160.0443656,270.316683,166.4074922
2019,9794.756397,91.45117176,55.28946804,39.63592854,9.93082208,2.32468927,9.479879665,5.499422134,22.31912657,17.86898857,10.78157786,0.402721145,9.924541318,1.202425764,1.12944855,1.558835934,0.501792323,12.938151,1.224295581,1.099616298,171.6055416,163.7457691,2.475236205,3.807084203,1.1596803,1.1596803,1111.842995,1853.101457,64.50943972,24.68465613,10.7622524,2.949353649,6.139953383,1.919870819,3.259442423,0.287002704,0.460908905,6.099808932,4641.959322,4.315775384,0.313102554,44.09425473,732.4793244,67.59747841,153.2990027,271.6862136,154.4788876
2020,9879.748537,92.06867631,37.09908299,37.16375353,10.05907123,2.234013148,6.887908127,4.176908262,14.03236337,16.95338089,8.822994991,0.332804828,7.755014857,0.8565904,0.375253303,1.324090751,0.440861278,10.60099371,1.216194087,1.02546447,175.3595048,122.4603708,1.921366509,0.978850643,0.840724396,0.840446229,1153.493909,1916.366708,62.24143644,30.7649101,15.40907008,2.437093641,5.085889802,1.561848063,3.310230474,0.251788418,0.495075548,8.009662406,4749.188887,4.296460464,0.253101867,43.43833637,682.8902876,60.49717053,152.9206358,279.1245145,151.8848361
2021,10356.26461,90.93565772,32.98879729,38.51513443,12.49678626,2.451919944,9.410677344,4.511665226,11.26122851,14.63208248,8.101189288,0.326205754,7.471559323,0.751288328,0.339562497,1.32222373,0.5022476,9.580860254,1.141107518,1.170399736,197.1604026,108.7472304,1.582705469,0.477696118,0.959071342,0.959071342,1138.838473,1850.884549,62.68546154,31.05674885,10.33429737,2.57754931,5.364088553,2.014501391,4.321524081,0.271897057,0.242921132,7.149620332,5253.151193,1.352433401,0.330204777,42.69980041,727.9655317,56.85693276,158.4488443,287.16818,154.7530899
